,date,1dAp,2dAp,3dAp
0,2013-12-22,5,5,10
1,2013-12-23,5,10,8
2,2013-12-24,10,8,5
3,2013-12-25,10,8,5
4,2013-12-26,7,5,5
5,2013-12-27,5,5,5
6,2013-12-28,5,5,5
7,2013-12-29,5,5,10
8,2013-12-30,5,10,15
9,2013-12-31,10,18,10
10,2014-01-01,18,10,8
11,2014-01-02,10,8,5
12,2014-01-03,8,5,5
13,2014-01-04,5,5,5
14,2014-01-05,5,15,18
15,2014-01-06,18,15,8
16,2014-01-07,12,8,5
17,2014-01-08,73,41,15
18,2014-01-09,40,20,14
19,2014-01-10,20,12,8
20,2014-01-11,12,8,5
21,2014-01-12,6,5,5
22,2014-01-13,5,5,5
23,2014-01-14,5,5,15
24,2014-01-15,5,15,10
25,2014-01-16,12,10,5
26,2014-01-17,10,5,5
27,2014-01-18,5,5,8
28,2014-01-19,5,8,5
29,2014-01-20,8,5,5
30,2014-01-21,5,8,5
31,2014-01-22,8,5,5
32,2014-01-23,5,5,5
33,2014-01-24,5,5,8
34,2014-01-25,,,
35,2014-01-26,8,12,5
36,2014-01-27,5,10,12
37,2014-01-28,10,12,8
38,2014-01-29,12,8,5
39,2014-01-30,5,5,5
40,2014-01-31,5,17,12
41,2014-02-01,17,12,5
42,2014-02-02,8,8,5
43,2014-02-03,8,8,5
44,2014-02-04,5,5,5
45,2014-02-05,5,5,10
46,2014-02-06,8,15,10
47,2014-02-07,15,10,8
48,2014-02-08,12,8,5
49,2014-02-09,12,8,5
50,2014-02-10,8,5,5
51,2014-02-11,5,5,15
52,2014-02-12,5,25,40
53,2014-02-13,25,40,18
54,2014-02-14,40,18,12
55,2014-02-15,15,12,5
56,2014-02-16,12,5,5
57,2014-02-17,5,5,5
58,2014-02-18,5,5,15
59,2014-02-19,10,15,10
60,2014-02-20,20,12,12
61,2014-02-21,23,20,10
62,2014-02-22,20,10,8
63,2014-02-23,10,8,5
64,2014-02-24,8,5,7
65,2014-02-25,8,12,15
66,2014-02-26,18,15,8
67,2014-02-27,25,8,5
68,2014-02-28,8,5,5
69,2014-03-01,5,5,5
70,2014-03-02,5,5,5
71,2014-03-03,5,5,5
72,2014-03-04,5,5,5
73,2014-03-05,5,5,12
74,2014-03-06,5,12,10
75,2014-03-07,12,10,10
76,2014-03-08,12,10,8
77,2014-03-09,12,10,8
78,2014-03-10,8,5,5
79,2014-03-11,5,5,5
80,2014-03-12,5,5,5
81,2014-03-13,8,5,5
82,2014-03-14,5,8,8
83,2014-03-15,8,8,5
84,2014-03-16,8,8,5
85,2014-03-17,8,5,5
86,2014-03-18,5,5,5
87,2014-03-19,5,5,5
88,2014-03-20,5,5,8
89,2014-03-21,8,8,10
90,2014-03-22,8,10,8
91,2014-03-23,10,8,12
92,2014-03-24,8,12,5
93,2014-03-25,12,5,5
94,2014-03-26,5,5,5
95,2014-03-27,5,5,5
96,2014-03-28,5,5,5
97,2014-03-29,5,5,12
98,2014-03-30,5,12,28
99,2014-03-31,12,28,10
100,2014-04-01,20,10,5
101,2014-04-02,5,5,18
102,2014-04-03,14,20,8
103,2014-04-04,20,8,5
104,2014-04-05,8,5,5
105,2014-04-06,5,5,8
106,2014-04-07,5,5,5
107,2014-04-08,8,8,5
108,2014-04-09,8,5,10
109,2014-04-10,5,10,12
110,2014-04-11,10,12,8
111,2014-04-12,12,8,8
112,2014-04-13,8,8,5
113,2014-04-14,8,5,5
114,2014-04-15,5,8,8
115,2014-04-16,8,8,5
116,2014-04-17,8,12,20
117,2014-04-18,12,25,20
118,2014-04-19,35,25,10
119,2014-04-20,20,10,8
120,2014-04-21,15,8,8
121,2014-04-22,8,8,8
122,2014-04-23,8,8,5
123,2014-04-24,8,5,5
124,2014-04-25,5,5,5
125,2014-04-26,5,5,8
126,2014-04-27,5,8,8
127,2014-04-28,8,8,5
128,2014-04-29,8,5,5
129,2014-04-30,15,8,5
130,2014-05-01,5,5,8
131,2014-05-02,5,8,8
132,2014-05-03,10,8,5
133,2014-05-04,8,8,12
134,2014-05-05,8,12,8
135,2014-05-06,5,8,8
136,2014-05-07,8,8,12
137,2014-05-08,8,12,10
138,2014-05-09,12,10,8
139,2014-05-10,10,8,5
140,2014-05-11,8,5,10
141,2014-05-12,5,10,10
142,2014-05-13,8,10,8
143,2014-05-14,10,8,5
144,2014-05-15,7,5,5
145,2014-05-16,5,5,5
146,2014-05-17,5,5,5
147,2014-05-18,5,5,8
148,2014-05-19,5,8,8
149,2014-05-20,5,8,8
150,2014-05-21,8,8,5
151,2014-05-22,8,5,5
152,2014-05-23,10,5,8
153,2014-05-24,5,8,5
154,2014-05-25,8,5,5
155,2014-05-26,5,5,8
156,2014-05-27,5,8,5
157,2014-05-28,8,5,5
158,2014-05-29,5,5,8
159,2014-05-30,10,8,5
160,2014-05-31,8,5,8
161,2014-06-01,5,8,8
162,2014-06-02,8,8,5
163,2014-06-03,8,5,8
164,2014-06-04,5,8,10
165,2014-06-05,8,10,8
166,2014-06-06,10,8,5
167,2014-06-07,10,5,5
168,2014-06-08,15,5,5
169,2014-06-09,5,5,5
170,2014-06-10,5,5,18
171,2014-06-11,8,18,20
172,2014-06-12,18,20,10
173,2014-06-13,20,10,8
174,2014-06-14,12,10,5
175,2014-06-15,10,8,8
176,2014-06-16,8,8,5
177,2014-06-17,8,5,5
178,2014-06-18,5,5,5
179,2014-06-19,5,5,8
180,2014-06-20,5,18,15
181,2014-06-21,18,18,15
182,2014-06-22,18,15,15
183,2014-06-23,15,15,8
