,date,3hrKp,6hrKp,9hrKp,12hrKp,15hrKp,18hrKp,21hrKp,24hrKp,27hrKp,30hrKp,33hrKp,36hrKp,39hrKp,42hrKp,45hrKp,48hrKp,51hrKp,54hrKp,57hrKp,60hrKp,63hrKp,66hrKp,69hrKp,72hrKp
0,2022-11-13,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
1,2022-11-14,2.0,2.0,1.33,1.33,2.0,3.0,3.0,3.0,2.67,2.67,2.67,2.67,2.67,2.0,2.0,2.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
2,2022-11-15,1.67,2.67,2.0,1.67,1.33,1.33,2.0,2.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.67,1.33,1.67,2.33,2.33,2.67,2.67
3,2022-11-16,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.33,1.67,3.0,2.67,2.33,3.0,2.67,2.33,2.0,2.0,2.0,2.33,2.33,3.33,4.0,4.33
4,2022-11-17,1.33,1.67,3.0,2.67,2.33,2.33,2.67,2.67,2.67,2.67,2.33,2.33,3.0,3.33,4.0,4.67,4.67,4.33,5.33,3.33,2.67,3.0,3.67,4.0
5,2022-11-18,2.67,3.67,2.67,2.67,2.67,2.67,4.0,5.0,4.67,5.33,4.0,3.67,3.0,3.0,3.67,4.0,3.67,3.67,2.67,2.67,1.67,1.67,1.67,2.67
6,2022-11-19,2.67,3.33,3.0,3.67,4.0,4.67,5.0,5.33,5.33,5.0,4.0,3.67,3.0,2.67,2.67,3.0,3.0,3.67,2.67,2.67,1.67,1.67,2.0,2.67
7,2022-11-20,5.33,5.0,4.0,3.67,3.0,2.67,2.67,3.0,3.0,2.0,2.0,3.0,3.67,4.0,3.0,3.0,2.67,2.67,2.67,1.67,2.0,1.0,2.0,2.0
8,2022-11-21,3.0,2.0,2.0,3.0,3.67,4.0,3.0,3.0,2.33,2.0,2.33,2.67,2.67,2.33,2.33,2.33,2.33,2.67,2.33,2.33,2.0,2.33,2.33,2.67
9,2022-11-22,2.33,2.0,2.33,2.67,2.67,2.33,2.33,2.33,2.33,2.67,2.33,2.33,2.0,2.33,2.33,2.67,2.33,2.67,2.33,1.67,1.33,2.0,2.67,2.0
10,2022-11-23,3.0,2.33,2.67,1.67,2.33,2.0,3.67,3.33,3.0,3.67,4.0,3.0,2.0,2.33,3.0,2.67,4.0,2.67,2.33,2.67,2.0,2.0,3.0,2.33
11,2022-11-24,3.0,3.67,4.0,3.0,2.0,2.33,3.0,2.67,4.0,2.67,2.33,2.67,2.0,2.0,3.0,2.33,3.0,3.67,3.67,3.33,3.0,3.33,3.0,3.0
12,2022-11-25,4.0,2.67,2.33,2.67,2.0,2.0,3.0,2.33,3.0,3.67,3.67,3.33,3.0,3.33,3.0,3.0,3.0,2.67,2.67,2.67,2.67,2.0,1.67,2.0
13,2022-11-26,3.0,3.67,3.67,3.33,3.0,3.33,3.0,3.0,3.0,2.67,2.67,2.67,2.67,2.0,1.67,2.0,2.67,3.67,2.67,2.0,1.67,1.67,2.67,3.67
14,2022-11-27,2.67,3.0,2.67,2.0,2.0,1.67,2.0,2.67,2.67,3.0,2.67,2.67,2.67,3.0,3.67,3.67,3.67,4.0,3.67,3.0,2.67,2.67,3.0,3.0
15,2022-11-28,2.67,2.67,2.0,1.67,3.0,3.33,3.67,4.0,3.67,4.0,3.33,3.0,2.67,2.33,1.67,2.33,2.0,2.0,1.33,1.33,2.0,3.0,4.0,5.0
16,2022-11-29,4.67,4.33,3.67,3.67,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.67,3.67,4.0,4.33,5.0,3.67,2.33,3.67,3.67,3.67,3.67,3.67,3.67
17,2022-11-30,3.0,3.0,3.0,3.67,3.67,4.0,4.33,5.0,3.67,2.33,3.67,3.67,3.67,3.67,3.67,3.67,3.0,2.67,2.67,2.67,2.67,2.0,1.67,2.0
18,2022-12-01,3.67,2.33,3.67,3.67,3.67,3.67,3.67,3.67,3.0,2.67,2.67,2.67,2.67,2.0,1.67,2.0,2.67,2.0,3.67,4.33,4.0,3.67,2.67,2.67
19,2022-12-02,3.0,3.67,2.67,2.67,2.67,2.0,1.67,2.67,2.67,3.0,2.67,2.67,1.67,1.67,1.67,2.0,2.0,2.0,1.67,1.67,1.0,0.67,1.0,1.67
20,2022-12-03,2.67,2.67,2.67,2.0,1.67,1.0,1.67,2.0,2.0,2.0,1.67,1.67,1.0,0.67,1.0,1.67,1.67,1.67,1.67,1.33,1.33,0.67,1.33,1.67
21,2022-12-04,3.0,2.67,2.0,2.0,1.0,1.0,1.0,2.0,1.67,1.67,1.67,1.33,1.33,0.67,1.33,1.67,2.0,2.0,2.0,1.0,2.0,2.67,4.0,4.0
22,2022-12-05,1.67,1.67,1.67,1.33,1.33,0.67,1.33,1.67,2.0,2.0,2.0,1.0,2.0,2.67,4.0,4.0,4.33,4.67,3.67,3.0,3.0,2.67,2.33,3.0
23,2022-12-06,2.0,2.0,2.0,1.0,2.0,2.67,4.0,4.0,4.33,4.67,3.67,3.0,3.0,2.67,2.33,3.0,2.67,2.67,2.0,2.0,1.67,2.0,2.0,2.33
24,2022-12-07,4.33,4.67,3.67,3.0,3.0,2.67,2.33,3.0,3.33,3.0,2.67,2.0,1.67,2.0,2.0,2.33,3.0,3.0,1.33,1.33,1.33,1.33,1.67,1.33
25,2022-12-08,2.33,2.0,2.0,2.0,2.0,2.0,2.0,2.33,3.0,2.0,2.0,1.0,1.33,2.0,2.0,2.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
26,2022-12-09,3.0,2.0,2.0,1.0,1.33,2.0,2.0,2.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
27,2022-12-10,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
28,2022-12-11,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.33,1.67,1.33,1.33,1.33,1.33,1.67,1.67
29,2022-12-12,2.67,2.0,1.33,1.33,1.33,1.33,1.67,1.67,1.33,1.67,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
30,2022-12-13,1.33,1.67,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
31,2022-12-14,1.67,1.67,1.33,1.33,1.0,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
32,2022-12-15,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,2.33,2.33,2.0,2.0,2.0,2.33,2.67,3.33
33,2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,
34,2022-12-17,1.67,2.0,2.33,2.67,2.67,2.33,2.33,3.0,2.67,2.33,2.33,2.33,2.0,1.67,1.33,1.33,2.33,2.67,2.33,2.0,2.0,1.67,1.33,1.33
35,2022-12-18,3.33,3.67,3.33,2.67,2.0,1.67,2.0,2.0,2.33,1.67,1.33,1.33,2.0,1.67,3.33,3.67,4.0,4.67,4.0,3.33,2.33,2.0,2.67,3.67
36,2022-12-19,2.33,1.67,1.33,1.33,2.0,1.67,3.33,3.67,4.0,4.67,4.0,3.33,2.33,2.0,2.67,3.67,2.67,3.67,3.0,3.0,2.33,2.0,2.0,2.33
37,2022-12-20,4.0,4.67,4.0,3.33,2.33,2.0,2.67,3.67,2.67,3.67,3.0,3.0,2.33,2.0,2.0,2.33,2.33,3.0,3.0,1.67,1.33,1.0,1.0,1.67
38,2022-12-21,2.67,3.67,3.0,3.0,1.67,1.67,2.33,2.0,2.33,3.0,3.0,1.67,1.33,1.0,1.0,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
39,2022-12-22,3.0,3.67,2.67,2.67,1.67,1.0,1.0,1.67,1.67,2.67,3.0,2.0,2.0,1.33,1.67,1.67,1.67,1.67,1.33,1.33,1.0,2.67,2.67,2.67
40,2022-12-23,3.0,4.0,3.67,2.67,2.33,2.33,3.0,3.67,3.67,3.33,4.0,2.33,2.0,2.33,2.67,3.0,4.0,4.33,3.0,2.0,2.33,3.33,3.0,3.67
41,2022-12-24,4.0,4.33,4.0,3.0,2.67,2.33,3.67,3.0,4.0,4.33,3.0,2.0,2.33,3.33,3.0,3.67,2.67,4.33,5.0,5.33,3.0,3.33,4.0,4.33
42,2022-12-25,3.0,3.33,2.0,1.0,1.33,2.33,2.0,2.67,2.67,4.33,5.0,5.33,3.0,3.33,4.0,4.33,2.67,3.67,3.67,2.67,2.67,2.67,2.67,2.67
43,2022-12-26,4.0,4.67,4.33,3.0,2.67,3.33,4.0,4.33,2.67,3.67,3.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.33,2.33,2.33,2.33,2.0,2.33
44,2022-12-27,2.67,3.67,3.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.33,2.33,2.33,2.33,2.0,2.33,3.33,2.33,2.33,3.0,2.67,2.67,3.67,3.67
45,2022-12-28,2.67,2.67,2.33,2.33,2.33,2.33,2.0,2.33,2.33,2.67,2.33,2.67,3.0,3.67,4.0,3.67,3.67,3.0,3.67,2.67,2.33,2.0,2.67,2.67
46,2022-12-29,2.67,3.67,2.67,2.67,2.33,3.33,3.67,3.67,3.67,3.0,3.67,2.67,2.33,2.0,2.67,2.67,2.67,2.67,2.0,2.33,2.67,2.67,2.67,2.0
